Ponds,Group,Temperature,Treatment,MicroResp_SW,Year
A1,4°„C,4°„C,4°„C,1.16E-05,2019
A2,CONTROL,CONTROL,CONTROL,2.07E-05,2019
A3,5°„C,5°„C,,3.45E-05,2019
A4,UR+RU,,UR+RU,1.96E-05,2019
A5,1°„C,1°„C,,1.98E-05,2019
A6,4°„C,4°„C,4°„C,2.07E-05,2019
A7,CONTROL,CONTROL,CONTROL,2.26E-05,2019
A8,5°„C,5°„C,,3.12E-05,2019
A9,2°„C,2°„C,,2.52E-05,2019
A10,UR,,UR,3.99E-05,2019
A11,UR+RU+4°„C,,UR+RU+4°„C,3.08E-05,2019
A12,UR+RU,,UR+RU,8.14E-06,2019
B1,1°„C,1°„C,,1.01E-05,2019
B2,UR,,UR,4.24E-05,2019
B3,6°„C,6°„C,,5.26E-05,2019
B4,CONTROL,CONTROL,CONTROL,5.56E-05,2019
B5,RU,,RU,5.32E-05,2019
B6,7°„C,7°„C,,6.59E-05,2019
B7,3°„C,3°„C,,6.73E-05,2019
B8,CONTROL,CONTROL,CONTROL,9.59E-05,2019
B9,4°„C,4°„C,4°„C,5.62E-05,2019
B10,8°„C,8°„C,,3.04E-05,2019
B11,2°„C,2°„C,,1.90E-05,2019
B12,CONTROL,CONTROL,CONTROL,2.35E-05,2019
C1,UR+RU,,UR+RU,1.98E-05,2019
C2,2°„C,2°„C,,4.39E-05,2019
C3,4°„C,4°„C,4°„C,3.41E-05,2019
C4,8°„C,8°„C,,4.24E-05,2019
C5,2°„C,2°„C,,3.90E-05,2019
C6,RU,,RU,3.20E-05,2019
C7,2°„C,2°„C,,4.24E-05,2019
C8,UR+RU+4°„C,,UR+RU+4°„C,4.09E-05,2019
C9,UR,,UR,2.70E-05,2019
C10,4°„C,4°„C,4°„C,4.34E-05,2019
C11,7°„C,7°„C,,2.16E-05,2019
C12,RU,,RU,1.46E-05,2019
D1,RU,,RU,1.31E-05,2019
D2,4°„C,4°„C,4°„C,3.45E-05,2019
D3,6°„C,6°„C,,3.71E-05,2019
D4,2°„C,2°„C,,3.24E-05,2019
D5,UR,,UR,3.45E-05,2019
D6,CONTROL,CONTROL,CONTROL,3.04E-05,2019
D7,UR+RU+4°„C,,UR+RU+4°„C,3.49E-05,2019
D8,UR,,UR,4.34E-05,2019
D9,6°„C,6°„C,,3.76E-05,2019
D10,CONTROL,CONTROL,CONTROL,3.00E-05,2019
D11,UR+RU+4°„C,,UR+RU+4°„C,3.67E-05,2019
D12,4°„C,4°„C,4°„C,1.35E-05,2019
E1,4°„C,4°„C,4°„C,1.33E-05,2019
E2,7°„C,7°„C,,4.34E-05,2019
E3,UR,,UR,4.04E-05,2019
E4,4°„C,4°„C,4°„C,3.45E-05,2019
E5,3°„C,3°„C,,3.49E-05,2019
E6,RU,,RU,4.39E-05,2019
E7,4°„C,4°„C,4°„C,3.32E-05,2019
E8,UR+RU,,UR+RU,4.70E-05,2019
E9,2°„C,2°„C,,5.26E-05,2019
E10,2°„C,2°„C,,2.32E-05,2019
E11,3°„C,3°„C,,2.07E-05,2019
E12,UR,,UR,6.58E-06,2019
F1,RU,,RU,1.39E-05,2019
F2,UR+RU+4°„C,,UR+RU+4°„C,1.74E-05,2019
F3,4°„C,4°„C,4°„C,3.99E-05,2019
F4,UR+RU,,UR+RU,2.59E-05,2019
F5,CONTROL,CONTROL,CONTROL,2.81E-05,2019
F6,5°„C,5°„C,,2.35E-05,2019
F7,8°„C,8°„C,,2.88E-05,2019
F8,2°„C,2°„C,,2.81E-05,2019
F9,RU,,RU,7.53E-05,2019
F10,6°„C,6°„C,,3.16E-05,2019
F11,CONTROL,CONTROL,CONTROL,2.16E-05,2019
F12,2°„C,2°„C,,8.30E-06,2019
G1,2°„C,2°„C,,1.20E-05,2019
G2,1°„C,1°„C,,2.19E-05,2019
G3,2°„C,2°„C,,1.58E-05,2019
G4,UR+RU+4°„C,,UR+RU+4°„C,2.42E-05,2019
G5,3°„C,3°„C,,2.29E-05,2019
G6,UR+RU,,UR+RU,2.32E-05,2019
G7,RU,,RU,3.00E-05,2019
G8,CONTROL,CONTROL,CONTROL,3.12E-05,2019
G9,UR+RU+4°„C,,UR+RU+4°„C,2.23E-05,2019
G10,2°„C,2°„C,,2.73E-05,2019
G11,5°„C,5°„C,,2.35E-05,2019
G12,UR+RU+4°„C,,UR+RU+4°„C,8.61E-06,2019
H1,CONTROL,CONTROL,CONTROL,8.77E-06,2019
H2,UR+RU,,UR+RU,1.49E-05,2019
H3,8°„C,8°„C,,1.56E-05,2019
H4,4°„C,4°„C,4°„C,1.12E-05,2019
H5,2°„C,2°„C,,1.29E-05,2019
H6,UR,,UR,1.46E-05,2019
H7,7°„C,7°„C,,1.90E-05,2019
H8,4°„C,4°„C,4°„C,2.10E-05,2019
H9,1°„C,1°„C,,1.20E-05,2019
H10,CONTROL,CONTROL,CONTROL,2.07E-05,2019
H11,4°„C,4°„C,4°„C,1.29E-05,2019
H12,UR+RU,,UR+RU,4.32E-06,2019
A1,4°„C,4°„C,4°„C,1.48E-07,2021
A2,CONTROL,CONTROL,CONTROL,2.93E-07,2021
A3,5°„C,5°„C,,1.16E-06,2021
A4,UR+RU,,UR+RU,1.78E-06,2021
A5,1°„C,1°„C,,1.16E-06,2021
A6,4°„C,4°„C,4°„C,1.49E-06,2021
A7,CONTROL,CONTROL,CONTROL,1.36E-06,2021
A8,5°„C,5°„C,,1.08E-06,2021
A9,2°„C,2°„C,,5.21E-07,2021
A10,UR,,UR,2.28E-06,2021
A11,UR+RU+4°„C,,UR+RU+4°„C,1.36E-06,2021
A12,UR+RU,,UR+RU,3.70E-07,2021
B1,1°„C,1°„C,,3.87E-07,2021
B2,UR,,UR,5.87E-07,2021
B3,6°„C,6°„C,,3.42E-06,2021
B4,CONTROL,CONTROL,CONTROL,2.05E-06,2021
B5,RU,,RU,3.18E-06,2021
B6,7°„C,7°„C,,2.60E-06,2021
B7,3°„C,3°„C,,2.05E-06,2021
B8,CONTROL,CONTROL,CONTROL,7.12E-06,2021
B9,4°„C,4°„C,4°„C,1.40E-06,2021
B10,8°„C,8°„C,,3.76E-06,2021
B11,2°„C,2°„C,,1.37E-05,2021
B12,CONTROL,CONTROL,CONTROL,4.41E-07,2021
C1,UR+RU,,UR+RU,1.66E-07,2021
C2,2°„C,2°„C,,4.92E-06,2021
C3,4°„C,4°„C,4°„C,3.68E-06,2021
C4,8°„C,8°„C,,4.72E-06,2021
C5,2°„C,2°„C,,4.41E-06,2021
C6,RU,,RU,8.30E-06,2021
C7,2°„C,2°„C,,1.24E-05,2021
C8,UR+RU+4°„C,,UR+RU+4°„C,6.72E-06,2021
C9,UR,,UR,2.34E-06,2021
C10,4°„C,4°„C,4°„C,1.83E-06,2021
C11,7°„C,7°„C,,1.40E-06,2021
C12,RU,,RU,5.42E-07,2021
D1,RU,,RU,7.38E-07,2021
D2,4°„C,4°„C,4°„C,2.16E-06,2021
D3,6°„C,6°„C,,6.20E-06,2021
D4,2°„C,2°„C,,1.94E-06,2021
D5,UR,,UR,5.36E-06,2021
D6,CONTROL,CONTROL,CONTROL,4.22E-06,2021
D7,UR+RU+4°„C,,UR+RU+4°„C,3.18E-06,2021
D8,UR,,UR,1.46E-05,2021
D9,6°„C,6°„C,,7.69E-06,2021
D10,CONTROL,CONTROL,CONTROL,1.53E-05,2021
D11,UR+RU+4°„C,,UR+RU+4°„C,3.03E-06,2021
D12,4°„C,4°„C,4°„C,6.85E-07,2021
E1,4°„C,4°„C,4°„C,1.73E-06,2021
E2,7°„C,7°„C,,2.60E-06,2021
E3,UR,,UR,8.45E-06,2021
E4,4°„C,4°„C,4°„C,1.63E-06,2021
E5,3°„C,3°„C,,1.78E-06,2021
E6,RU,,RU,6.45E-06,2021
E7,4°„C,4°„C,4°„C,3.42E-06,2021
E8,UR+RU,,UR+RU,5.03E-06,2021
E9,2°„C,2°„C,,5.59E-06,2021
E10,2°„C,2°„C,,3.76E-06,2021
E11,3°„C,3°„C,,4.51E-06,2021
E12,UR,,UR,1.08E-06,2021
F1,RU,,RU,3.87E-07,2021
F2,UR+RU+4°„C,,UR+RU+4°„C,5.87E-07,2021
F3,4°„C,4°„C,4°„C,4.03E-06,2021
F4,UR+RU,,UR+RU,6.20E-06,2021
F5,CONTROL,CONTROL,CONTROL,7.69E-06,2021
F6,5°„C,5°„C,,3.18E-06,2021
F7,8°„C,8°„C,,3.51E-06,2021
F8,2°„C,2°„C,,5.83E-06,2021
F9,RU,,RU,5.83E-06,2021
F10,6°„C,6°„C,,1.58E-05,2021
F11,CONTROL,CONTROL,CONTROL,1.74E-05,2021
F12,2°„C,2°„C,,1.88E-06,2021
G1,2°„C,2°„C,,3.32E-08,2021
G2,1°„C,1°„C,,1.23E-06,2021
G3,2°„C,2°„C,,8.23E-07,2021
G4,UR+RU+4°„C,,UR+RU+4°„C,2.88E-06,2021
G5,3°„C,3°„C,,3.76E-06,2021
G6,UR+RU,,UR+RU,3.11E-06,2021
G7,RU,,RU,1.94E-06,2021
G8,CONTROL,CONTROL,CONTROL,2.47E-06,2021
G9,UR+RU+4°„C,,UR+RU+4°„C,1.05E-06,2021
G10,2°„C,2°„C,,4.82E-06,2021
G11,5°„C,5°„C,,2.47E-06,2021
G12,UR+RU+4°„C,,UR+RU+4°„C,8.23E-07,2021
H1,CONTROL,CONTROL,CONTROL,2.66E-07,2021
H2,UR+RU,,UR+RU,1.40E-07,2021
H3,8°„C,8°„C,,7.94E-07,2021
H4,4°„C,4°„C,4°„C,8.23E-07,2021
H5,2°„C,2°„C,,4.04E-07,2021
H6,UR,,UR,8.84E-07,2021
H7,7°„C,7°„C,,9.15E-07,2021
H8,4°„C,4°„C,4°„C,2.06E-07,2021
H9,1°„C,1°„C,,3.54E-07,2021
H10,CONTROL,CONTROL,CONTROL,3.23E-07,2021
H11,4°„C,4°„C,4°„C,1.27E-06,2021
H12,UR+RU,,UR+RU,5.87E-07,2021
A1,4°„C,4°„C,4°„C,0.000139433,2022
A2,CONTROL,CONTROL,CONTROL,0.000228996,2022
A3,5°„C,5°„C,,0.000300988,2022
A4,UR+RU,,UR+RU,0.000215419,2022
A5,1°„C,1°„C,,0.000202107,2022
A6,4°„C,4°„C,4°„C,0.000741923,2022
A7,CONTROL,CONTROL,CONTROL,0.000347752,2022
A8,5°„C,5°„C,,0.000187848,2022
A9,2°„C,2°„C,,0.00013715,2022
A10,UR,,UR,0.000123015,2022
A11,UR+RU+4°„C,,UR+RU+4°„C,0.000100512,2022
A12,UR+RU,,UR+RU,4.42E-05,2022
B1,1°„C,1°„C,,0.000163739,2022
B2,UR,,UR,0.000363702,2022
B3,6°„C,6°„C,,0.000235885,2022
B4,CONTROL,CONTROL,CONTROL,0.000571391,2022
B5,RU,,RU,0.002650494,2022
B6,7°„C,7°„C,,0.000910306,2022
B7,3°„C,3°„C,,0.000599257,2022
B8,CONTROL,CONTROL,CONTROL,0.000737618,2022
B9,4°„C,4°„C,4°„C,0.000182524,2022
B10,8°„C,8°„C,,0.000151774,2022
B11,2°„C,2°„C,,0.000238421,2022
B12,CONTROL,CONTROL,CONTROL,0.000293968,2022
C1,UR+RU,,UR+RU,0.000541878,2022
C2,2°„C,2°„C,,0.001385409,2022
C3,4°„C,4°„C,4°„C,0.000323959,2022
C4,8°„C,8°„C,,0.000169973,2022
C5,2°„C,2°„C,,0.000776453,2022
C6,RU,,RU,0.000264125,2022
C7,2°„C,2°„C,,0.000307016,2022
C8,UR+RU+4°„C,,UR+RU+4°„C,0.000215346,2022
C9,UR,,UR,0.00043667,2022
C10,4°„C,4°„C,4°„C,0.000333905,2022
C11,7°„C,7°„C,,0.000166895,2022
C12,RU,,RU,0.000187848,2022
D1,RU,,RU,0.000157568,2022
D2,4°„C,4°„C,4°„C,0.000139433,2022
D3,6°„C,6°„C,,0.000228996,2022
D4,2°„C,2°„C,,0.000182633,2022
D5,UR,,UR,0.000371873,2022
D6,CONTROL,CONTROL,CONTROL,0.000388442,2022
D7,UR+RU+4°„C,,UR+RU+4°„C,0.000177257,2022
D8,UR,,UR,0.000340794,2022
D9,6°„C,6°„C,,0.000100512,2022
D10,CONTROL,CONTROL,CONTROL,0.000293968,2022
D11,UR+RU+4°„C,,UR+RU+4°„C,0.000172047,2022
D12,4°„C,4°„C,4°„C,0.00039094,2022
E1,4°„C,4°„C,4°„C,0.000228996,2022
E2,7°„C,7°„C,,0.000286031,2022
E3,UR,,UR,0.000278659,2022
E4,4°„C,4°„C,4°„C,0.000182633,2022
E5,3°„C,3°„C,,0.000719362,2022
E6,RU,,RU,0.000961884,2022
E7,4°„C,4°„C,4°„C,0.000340794,2022
E8,UR+RU,,UR+RU,0.000376266,2022
E9,2°„C,2°„C,,0.000166895,2022
E10,2°„C,2°„C,,0.000354777,2022
E11,3°„C,3°„C,,0.000262477,2022
E12,UR,,UR,0.00014197,2022
F1,RU,,RU,0.000249868,2022
F2,UR+RU+4°„C,,UR+RU+4°„C,0.000222174,2022
F3,4°„C,4°„C,4°„C,0.000347584,2022
F4,UR+RU,,UR+RU,0.000157568,2022
F5,CONTROL,CONTROL,CONTROL,0.000561469,2022
F6,5°„C,5°„C,,0.000697164,2022
F7,8°„C,8°„C,,0.000383568,2022
F8,2°„C,2°„C,,0.000313639,2022
F9,RU,,RU,0.00019323,2022
F10,6°„C,6°„C,,0.000166895,2022
F11,CONTROL,CONTROL,CONTROL,0.000172047,2022
F12,2°„C,2°„C,,0.000226762,2022
G1,2°„C,2°„C,,9.93E-05,2022
G2,1°„C,1°„C,,0.000145416,2022
G3,2°„C,2°„C,,0.000249868,2022
G4,UR+RU+4°„C,,UR+RU+4°„C,0.000121853,2022
G5,3°„C,3°„C,,0.000133512,2022
G6,UR+RU,,UR+RU,0.000215419,2022
G7,RU,,RU,0.000274882,2022
G8,CONTROL,CONTROL,CONTROL,0.000215346,2022
G9,UR+RU+4°„C,,UR+RU+4°„C,0.000166895,2022
G10,2°„C,2°„C,,0.000177257,2022
G11,5°„C,5°„C,,0.000198671,2022
G12,UR+RU+4°„C,,UR+RU+4°„C,0.000287542,2022
H1,CONTROL,CONTROL,CONTROL,0.000228996,2022
H2,UR+RU,,UR+RU,0.000235885,2022
H3,8°„C,8°„C,,6.71E-05,2022
H4,4°„C,4°„C,4°„C,0.000169973,2022
H5,2°„C,2°„C,,0.000422493,2022
H6,UR,,UR,0.000228996,2022
H7,7°„C,7°„C,,0.000313639,2022
H8,4°„C,4°„C,4°„C,0.000354777,2022
H9,1°„C,1°„C,,0.000413482,2022
H10,CONTROL,CONTROL,CONTROL,0.000413482,2022
H11,4°„C,4°„C,4°„C,0.000452493,2022
H12,UR+RU,,UR+RU,0.000493351,2022
